record_type,sample,ride_count,metric,statistic,value,unit,duration_example_min,old_price_usd,new_price_usd,absolute_increase_usd,note
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,old_single_ride_equivalent_cost_usd,median,1.8,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,old_single_ride_equivalent_cost_usd,p25,1.45,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,old_single_ride_equivalent_cost_usd,p75,2.5,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,old_single_ride_equivalent_cost_usd,sum,1226049.75,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,new_single_ride_equivalent_cost_usd,mean,5.187184059089622,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,new_single_ride_equivalent_cost_usd,median,3.4,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,new_single_ride_equivalent_cost_usd,p25,2.35,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,new_single_ride_equivalent_cost_usd,p75,5.5,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,new_single_ride_equivalent_cost_usd,sum,2654619.25,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,absolute_increase_usd,mean,2.7914560393930805,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,absolute_increase_usd,median,1.6,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,absolute_increase_usd,p25,0.9,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,absolute_increase_usd,p75,3.0,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,absolute_increase_usd,sum,1428569.5,USD,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,percentage_increase,mean,0.927947288359323,share,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,percentage_increase,median,0.8888888888888888,share,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,percentage_increase,p25,0.6206896551724139,share,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
sample_summary,2025 pre-policy casual classic-bike rides,511765.0,percentage_increase,p75,1.2000000000000002,share,,,,,"Single-Ride-equivalent standardized ride cost; scenario calculation, not an observed transaction price."
typical_ride_example,published Single Ride rate-card example,,typical_ride_price,exact,,USD,10.0,1.5,2.5,1.0,Minutes are billed using the same ceiling rule.
typical_ride_example,published Single Ride rate-card example,,typical_ride_price,exact,,USD,15.0,1.75,3.25,1.5,Minutes are billed using the same ceiling rule.
typical_ride_example,published Single Ride rate-card example,,typical_ride_price,exact,,USD,20.0,2.0,4.0,2.0,Minutes are billed using the same ceiling rule.
typical_ride_example,published Single Ride rate-card example,,typical_ride_price,exact,,USD,30.0,2.5,5.5,3.0,Minutes are billed using the same ceiling rule.
